location,type,long,lat
FKNMS1,Sanctuary,-80.35451,25.32899
FKNMS1,Sanctuary,-80.35448,25.32894
FKNMS1,Sanctuary,-80.35433,25.32889
FKNMS1,Sanctuary,-80.35427,25.3289
FKNMS1,Sanctuary,-80.35417,25.32886
FKNMS1,Sanctuary,-80.35408,25.32881
FKNMS1,Sanctuary,-80.35411,25.32874
FKNMS1,Sanctuary,-80.35414,25.32872
FKNMS1,Sanctuary,-80.35421,25.32868
FKNMS1,Sanctuary,-80.35427,25.32856
FKNMS1,Sanctuary,-80.35422,25.32847
FKNMS1,Sanctuary,-80.35415,25.3284
FKNMS1,Sanctuary,-80.35406,25.32837
FKNMS1,Sanctuary,-80.35401,25.32837
FKNMS1,Sanctuary,-80.35392,25.32847
FKNMS1,Sanctuary,-80.35379,25.32859
FKNMS1,Sanctuary,-80.35375,25.32859
FKNMS1,Sanctuary,-80.35369,25.32857
FKNMS1,Sanctuary,-80.35359,25.3286
FKNMS1,Sanctuary,-80.3534,25.32859
FKNMS1,Sanctuary,-80.35334,25.32853
FKNMS1,Sanctuary,-80.35328,25.32843
FKNMS1,Sanctuary,-80.35318,25.3284
FKNMS1,Sanctuary,-80.35293,25.32849
FKNMS1,Sanctuary,-80.35279,25.32852
FKNMS1,Sanctuary,-80.35256,25.32851
FKNMS1,Sanctuary,-80.35234,25.32844
FKNMS1,Sanctuary,-80.35223,25.32837
FKNMS1,Sanctuary,-80.35183,25.32799
FKNMS1,Sanctuary,-80.35165,25.32787
FKNMS1,Sanctuary,-80.35153,25.32782
FKNMS1,Sanctuary,-80.35136,25.32781
FKNMS1,Sanctuary,-80.35119,25.32789
FKNMS1,Sanctuary,-80.35102,25.32802
FKNMS1,Sanctuary,-80.35095,25.32808
FKNMS1,Sanctuary,-80.35078,25.32836
FKNMS1,Sanctuary,-80.35077,25.32844
FKNMS1,Sanctuary,-80.35073,25.32848
FKNMS1,Sanctuary,-80.35068,25.32848
FKNMS1,Sanctuary,-80.3506,25.32844
FKNMS1,Sanctuary,-80.35051,25.32844
FKNMS1,Sanctuary,-80.35047,25.32851
FKNMS1,Sanctuary,-80.35049,25.32852
FKNMS1,Sanctuary,-80.3506,25.32856
FKNMS1,Sanctuary,-80.35063,25.32859
FKNMS1,Sanctuary,-80.35068,25.32868
FKNMS1,Sanctuary,-80.35073,25.32869
FKNMS1,Sanctuary,-80.35078,25.32869
FKNMS1,Sanctuary,-80.35096,25.32877
FKNMS1,Sanctuary,-80.35107,25.32877
FKNMS1,Sanctuary,-80.35115,25.32866
FKNMS1,Sanctuary,-80.35128,25.32869
FKNMS1,Sanctuary,-80.35134,25.32874
FKNMS1,Sanctuary,-80.35141,25.32881
FKNMS1,Sanctuary,-80.35152,25.32889
FKNMS1,Sanctuary,-80.35168,25.32891
FKNMS1,Sanctuary,-80.35176,25.32896
FKNMS1,Sanctuary,-80.3518,25.32906
FKNMS1,Sanctuary,-80.35193,25.32911
FKNMS1,Sanctuary,-80.35211,25.32911
FKNMS1,Sanctuary,-80.35223,25.32913
FKNMS1,Sanctuary,-80.35234,25.32913
FKNMS1,Sanctuary,-80.35248,25.32914
FKNMS1,Sanctuary,-80.3526,25.32914
FKNMS1,Sanctuary,-80.35273,25.32918
FKNMS1,Sanctuary,-80.35274,25.32922
FKNMS1,Sanctuary,-80.35273,25.32929
FKNMS1,Sanctuary,-80.35282,25.32936
FKNMS1,Sanctuary,-80.35284,25.32941
FKNMS1,Sanctuary,-80.35286,25.3296
FKNMS1,Sanctuary,-80.3528,25.33003
FKNMS1,Sanctuary,-80.35271,25.3302
FKNMS1,Sanctuary,-80.35266,25.33026
FKNMS1,Sanctuary,-80.35254,25.3303
FKNMS1,Sanctuary,-80.35242,25.33032
FKNMS1,Sanctuary,-80.35235,25.3304
FKNMS1,Sanctuary,-80.35228,25.33048
FKNMS1,Sanctuary,-80.35212,25.33059
FKNMS1,Sanctuary,-80.35205,25.33065
FKNMS1,Sanctuary,-80.35192,25.33067
FKNMS1,Sanctuary,-80.35181,25.33073
FKNMS1,Sanctuary,-80.35168,25.33083
FKNMS1,Sanctuary,-80.3516,25.33088
FKNMS1,Sanctuary,-80.35144,25.33091
FKNMS1,Sanctuary,-80.35128,25.33104
FKNMS1,Sanctuary,-80.35106,25.33113
