Sample,A3-A3b-A3at-A3ax,A3-A3at-A3b-A3q-A3s,A3-A3s-A3q,A3,A3-A3b-A3av-A3au-A3aw,A4,B18b,B18c,B5,C3/C3.10,C1/C3-C42.2-C1dl-C3gl-C3gm-C3gk,C3-C1-C3.10,C3-C1dk-C15hx,C3-C3go-C6c-C3gq-C3gp-C3gn-C3dw,C16/C3-C16b,C3-C3hb-C3ge-C3hc-C1dk,C3-C3gr-C3gt-C3gs-C3.10,C3/C1,C3
SFK027,0,1706,0,0,0,0,0,0,0,0,0,0,6895,0,0,0,0,0,0
SFK047,0,1840,0,0,0,0,0,0,0,0,0,0,6692,0,0,0,0,0,0
SFK133,0,0,0,0,0,0,0,0,0,0,0,0,13314,0,0,0,0,0,0
SFK053,0,0,0,5978,0,0,0,0,0,0,0,0,7359,0,0,0,0,0,0
SFK134,0,7920,0,0,0,0,0,0,0,0,5373,0,0,0,0,0,0,0,0
SFK064,0,0,0,0,0,0,0,0,0,0,0,0,0,13880,0,0,0,0,0
SFK062,0,0,0,0,0,0,0,0,0,0,0,0,0,11842,0,0,0,0,0
SFK066,0,0,0,0,0,0,0,0,0,0,0,0,0,10892,0,0,0,0,0
SFK077,0,0,0,0,0,0,0,0,0,0,0,0,0,15566,0,0,0,0,0
SFK078,0,0,0,0,0,0,0,0,0,0,0,0,0,12919,0,0,0,0,0
SFK015,0,0,0,0,0,0,0,0,0,0,0,0,0,11224,0,0,0,0,0
SFK067,0,0,0,0,0,0,0,0,0,0,0,0,0,2410,0,0,0,0,0
SFK080,0,0,0,0,0,0,0,0,0,0,0,0,0,14555,0,0,0,0,0
SFK089,0,0,0,0,0,0,0,0,0,0,0,0,0,3276,0,0,0,0,0
SFK074,0,0,0,0,0,0,0,0,0,0,0,0,0,11174,0,0,0,0,0
SFK044,0,634,0,0,0,0,0,0,0,0,0,0,0,17341,0,0,0,0,0
SFK099,0,0,0,0,0,0,0,0,0,0,0,0,0,13034,0,0,0,0,0
SFK071,0,0,2053,0,0,0,0,0,0,0,0,0,0,9805,0,0,0,0,0
SFK218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12436,0,0,0,0
SFK183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11320,0,0,0,0
